timestamp,open,high,low,close,vol,volCcy,volCcyQuote,confirm
2024-04-29 13:00:00,3172,3176.99,3115.02,3131.94,1964938.4,196493.84,616633811.0889,1
2024-04-29 14:00:00,3131.94,3181.78,3124.28,3175.54,1465121.9,146512.19,463161836.0885,1
2024-04-29 15:00:00,3175.55,3186.07,3167.01,3182.4,656474.7,65647.47,208484970.5456,1
2024-04-29 16:00:00,3182.25,3189.9,3154.7,3158.55,785639.6,78563.96,249185373.3974,1
2024-04-29 17:00:00,3158.54,3179.48,3157.12,3173.18,422772.7,42277.27,134042447.1015,1
2024-04-29 18:00:00,3173.18,3178.01,3160.73,3175.67,296070.5,29607.05,93823308.375,1
2024-04-29 19:00:00,3175.66,3186.63,3161.61,3185.99,373575.3,37357.53,118487985.0768,1
2024-04-29 20:00:00,3185.99,3194.59,3173.69,3176.47,292057.4,29205.74,93008257.6289,1
2024-04-29 21:00:00,3176.48,3178.43,3163.36,3175.62,173257.6,17325.76,54937892.7619,1
2024-04-29 22:00:00,3175.62,3221.43,3172,3216,982127.5,98212.75,314899583.8025,1
2024-04-29 23:00:00,3216.01,3237.31,3214.3,3217.79,875714.3,87571.43,282529917.4961,1
2024-04-30 00:00:00,3217.8,3253.3,3203.3,3244.99,1158126.3,115812.63,373961536.1668,1
2024-04-30 01:00:00,3244.98,3245.92,3170.25,3172.8,1348274.1,134827.41,432495573.8041,1
2024-04-30 02:00:00,3172.79,3198.6,3148,3194.35,1765731.2,176573.12,560396066.9948,1
2024-04-30 03:00:00,3194.36,3195.5,3176,3181.32,472399.6,47239.96,150457782.3926,1
2024-04-30 04:00:00,3181.32,3185.58,3167.31,3171.09,426688.3,42668.83,135495583.8798,1
2024-04-30 05:00:00,3171.1,3177.29,3151.07,3169,632873.4,63287.34,200286234.8792,1
2024-04-30 06:00:00,3169,3175,3164.11,3172.65,263493.2,26349.32,83539563.2557,1
2024-04-30 07:00:00,3172.64,3173.87,3152.35,3156.86,462901.5,46290.15,146386742.6379,1
2024-04-30 08:00:00,3156.85,3161.48,3052.27,3067.22,3532914.6,353291.46,1097413507.6931,1
2024-04-30 09:00:00,3067.22,3074.85,3021.14,3048,2382463,238246.3,727633464.2709,1
2024-04-30 10:00:00,3048.01,3056.66,3030.92,3046.05,1137966.4,113796.64,346385489.2481,1
2024-04-30 11:00:00,3046.04,3046.05,3004,3007.41,1896573.8,189657.38,572745907.4594,1
2024-04-30 12:00:00,3007.41,3017.49,2965.01,3009.22,2860478.4,286047.84,857529631.223,1
2024-04-30 13:00:00,3009.22,3022.83,2983.46,2993.76,1299982.5,129998.25,390305009.1007,1
2024-04-30 14:00:00,2993.71,3037.99,2985.04,3020.24,1544099.6,154409.96,464813353.7655,1
2024-04-30 15:00:00,3020.24,3029.05,2983.05,2994.13,1474692.1,147469.21,442430933.1775,1
2024-04-30 16:00:00,2994.13,2998.71,2940.01,2986.83,2488320.4,248832.04,739434345.0344,1
2024-04-30 17:00:00,2986.85,2997.8,2974.1,2984.77,764251.7,76425.17,228208897.568,1
2024-04-30 18:00:00,2984.76,2992.7,2954.76,2976.24,594342,59434.2,176685659.4883,1
2024-04-30 19:00:00,2976,2985.91,2920.41,2928.57,1769686.8,176968.68,520945518.4602,1
2024-04-30 20:00:00,2928.57,2981.39,2927.46,2966.72,1098266.9,109826.69,325586365.4731,1
2024-04-30 21:00:00,2966.71,2996.05,2965.96,2988,560931.6,56093.16,167354253.9756,1
2024-04-30 22:00:00,2988,3030,2986.15,3010.07,875000.4,87500.04,263511980.9281,1
